gene	npas	pval	RLDu	RLDi	REDu	REDu.pval	REDi	REDi.pval	nread.c1.1	nread.c2.1
Coq4	2	1	0	NA	0	1	NA	NA	3917	3917
Slc27a4	2	1	0	NA	0	1	NA	NA	4904	4904
Urm1	2	1	0	NA	0	1	NA	NA	6987	6987
Odf2	3	1	NA	0	NA	NA	0	1	4859	4859
Gle1	2	1	0	NA	0	1	NA	NA	4533	4533
Set	4	1	0	NA	0	1	NA	NA	23590	23590
Tbc1d13	2	1	NA	0	NA	NA	0	1	878	878
Phyhd1	2	1	NA	0	NA	NA	0	1	2160	2160
Nup188	2	1	NA	0	NA	NA	0	1	1353	1353
Miga2	2	1	0	NA	0	1	NA	NA	7875	7875
Tor1b	3	1	0	NA	0	1	NA	NA	2253	2253
Usp20	2	1	0	NA	0	1	NA	NA	4798	4798
Gpr107	4	1	0	NA	0	1	NA	NA	3097	3097
Fubp3	2	1	0	NA	0	1	NA	NA	2975	2975
Exosc2	2	1	0	NA	0	1	NA	NA	1747	1747
Lamc3	3	1	0	NA	0	1	NA	NA	960	960
Aif1l	2	1	0	NA	0	1	NA	NA	596	596
Nup214	2	1	NA	0	NA	NA	0	1	1624	1624
Prrc2b	3	1	0	0	0	1	0	1	18060	18060
Pomt1	2	1	NA	0	NA	NA	0	1	1658	1658
Naif1	2	1	0	NA	0	1	NA	NA	333	333
St6galnac4	3	1	0	NA	0	1	NA	NA	6125	6125
Ak1	3	1	0	NA	0	1	NA	NA	22422	22422
Eng	2	1	0	NA	0	1	NA	NA	1568	1568
Sh2d3c	2	1	0	NA	0	1	NA	NA	2032	2032
Ptrh1	2	1	0	NA	0	1	NA	NA	710	710
Gm13524	2	1	NA	0	NA	NA	0	1	305	305
Fam129b	2	1	NA	0	NA	NA	0	1	1315	1315
Rpl12	2	1	NA	0	NA	NA	0	1	133264	133264
Angptl2	2	1	0	NA	0	1	NA	NA	520	520
Mapkap1	3	1	0	0	0	1	0	1	18457	18457
Cutal	2	1	0	NA	0	1	NA	NA	116	116
Cntrl	3	1	0	NA	0	1	NA	NA	583	583
Mrrf	2	1	0	NA	0	1	NA	NA	3679	3679
Ptgs1	3	1	0	NA	0	1	NA	NA	1591	1591
Rabgap1	2	1	NA	0	NA	NA	0	1	6347	6347
Lhx2	2	1	0	NA	0	1	NA	NA	4980	4980
Nek6	2	1	0	NA	0	1	NA	NA	3937	3937
Olfml2a	2	1	0	NA	0	1	NA	NA	935	935
Arpc5l	2	1	0	NA	0	1	NA	NA	46730	46730
Arhgap15	2	1	NA	NA	NA	NA	NA	NA	318	318
Zeb2os	4	1	0	NA	0	1	NA	NA	528	528
Acvr2a	3	1	0	NA	0	1	NA	NA	1863	1863
Epc2	3	1	0	NA	0	1	NA	NA	2112	2112
Kif5c	2	1	NA	0	NA	NA	0	1	4315	4315
Lypd6	3	1	0	NA	0	1	NA	NA	558	558
Gm13483	2	1	NA	NA	NA	NA	NA	NA	87	87
Tnfaip6	2	1	0	NA	0	1	NA	NA	1192	1192
Rif1	5	1	0	NA	0	1	NA	NA	2186	2186
A430018G15Rik	2	1	NA	NA	NA	NA	NA	NA	566	566
Arl6ip6	2	1	0	NA	0	1	NA	NA	3590	3590
Galnt13	5	1	0	NA	0	1	NA	NA	2215	2215
Kcnj3	3	1	0	NA	0	1	NA	NA	7240	7240
Gpd2	2	1	0	NA	0	1	NA	NA	6082	6082
Upp2	4	1	NA	NA	NA	NA	NA	NA	12188	12188
Gm13620	2	1	0	NA	0	1	NA	NA	177	177
March7	2	1	NA	0	NA	NA	0	1	5948	5948
Tank	2	1	0	NA	0	1	NA	NA	4929	4929
Psmd14	2	1	0	NA	0	1	NA	NA	22042	22042
Gca	5	1	0	NA	0	1	NA	NA	1708	1708
Gm13594	3	1	NA	0	NA	NA	0	1	1026	1026
Scn2a	3	1	0	0	0	1	0	1	4467	4467
Csrnp3	4	1	0	NA	0	1	NA	NA	3124	3124
Gm13629	4	1	0	0	0	1	0	1	692	692
B3galt1	2	1	0	NA	0	1	NA	NA	3808	3808
Cers6	2	1	0	NA	0	1	NA	NA	2978	2978
Ppig	5	1	0	NA	0	1	NA	NA	4247	4247
Phospho2	4	1	0	NA	0	1	NA	NA	3096	3096
Klhl23	2	1	0	NA	0	1	NA	NA	5276	5276
Ssb	4	1	0	0	0	1	0	1	18098	18098
Ubr3	3	1	0	NA	0	1	NA	NA	16956	16956
Erich2	3	1	NA	0	NA	NA	0	1	240	240
Gorasp2	2	1	0	NA	0	1	NA	NA	11643	11643
Dcaf17	4	1	NA	NA	NA	NA	NA	NA	1001	1001
Cybrd1	4	1	0	NA	0	1	NA	NA	1121	1121
Metap1d	2	1	NA	0	NA	NA	0	1	3981	3981
Itga6	4	1	0	NA	0	1	NA	NA	2648	2648
Pdk1	5	1	0	NA	0	1	NA	NA	1453	1453
Map3k20	5	1	0	0	0	1	0	1	1033	1033
Sp9	3	1	0	NA	0	1	NA	NA	6076	6076
Scrn3	4	1	0	0	0	1	0	1	2425	2425
Gm13707	2	1	0	NA	0	1	NA	NA	133	133
Hnrnpa3	4	1	NA	0	NA	NA	0	1	36738	36738
Agps	3	1	0	NA	0	1	NA	NA	2852	2852
Rbm45	3	1	0	0	0	1	0	1	764	764
Osbpl6	4	1	0	NA	0	1	NA	NA	2229	2229
Plekha3	4	1	0	NA	0	1	NA	NA	4536	4536
Ube2e3	3	1	NA	0	NA	NA	0	1	59104	59104
Itga4	2	1	0	NA	0	1	NA	NA	126	126
Ssfa2	2	1	0	NA	0	1	NA	NA	5643	5643
Dnajc10	5	1	0	NA	0	1	NA	NA	6637	6637
Dusp19	3	1	0	NA	0	1	NA	NA	2661	2661
Nup35	3	1	0	NA	0	1	NA	NA	4990	4990
Zfp804a	2	1	0	NA	0	1	NA	NA	3281	3281
Zc3h15	2	1	NA	0	NA	NA	0	1	14610	14610
Itgav	2	1	0	NA	0	1	NA	NA	9448	9448
Med19	5	1	0	NA	0	1	NA	NA	5447	5447
Tnks1bp1	2	1	NA	0	NA	NA	0	1	1041	1041
Nup160	4	1	0	0	0	1	0	1	795	795
Fnbp4	2	1	0	NA	0	1	NA	NA	3611	3611
Agbl2	2	1	NA	NA	NA	NA	NA	NA	449	449
Mtch2	3	1	0	NA	0	1	NA	NA	31200	31200
Celf1	2	1	NA	0	NA	NA	0	1	10966	10966
Psmc3	2	1	NA	0	NA	NA	0	1	24692	24692
Acp2	4	1	0	NA	0	1	NA	NA	2912	2912
Arfgap2	2	1	0	NA	0	1	NA	NA	7485	7485
Lrp4	2	1	0	NA	0	1	NA	NA	1902	1902
Arhgap1	2	1	0	NA	0	1	NA	NA	8213	8213
Harbi1	4	1	0	NA	0	1	NA	NA	839	839
Ambra1	2	1	NA	0	NA	NA	0	1	5257	5257
Chrm4	3	1	0	NA	0	1	NA	NA	767	767
Phf21a	3	1	0	NA	0	1	NA	NA	1958	1958
Chst1	2	1	0	NA	0	1	NA	NA	19205	19205
Syt13	3	1	0	NA	0	1	NA	NA	7044	7044
2810002D19Rik	3	1	0	NA	0	1	NA	NA	1506	1506
Lrrc4c	2	1	0	NA	0	1	NA	NA	2990	2990
Traf6	7	1	0	NA	0	1	NA	NA	986	986
Lmo2	2	1	0	NA	0	1	NA	NA	5758	5758
Fbxo3	3	1	0	0	0	1	0	1	9233	9233
Cd59b	3	1	0	0	0	1	0	1	775	775
Cd59a	4	1	0	NA	0	1	NA	NA	3347	3347
A930018P22Rik	2	1	NA	0	NA	NA	0	1	130	130
Cstf3	2	1	NA	0	NA	NA	0	1	8969	8969
Pax6	3	1	0	NA	0	1	NA	NA	7101	7101
Immp1l	2	1	0	NA	0	1	NA	NA	20430	20430
Mpped2	2	1	0	NA	0	1	NA	NA	4489	4489
Kcna4	3	1	0	NA	0	1	NA	NA	3918	3918
Bdnf	4	1	0	NA	0	1	NA	NA	897	897
Lin7c	3	1	0	0	0	1	0	1	10728	10728
Lgr4	2	1	0	NA	0	1	NA	NA	3697	3697
Ccdc34	3	1	0	0	0	1	0	1	1734	1734
Lpcat4	2	1	0	NA	0	1	NA	NA	1738	1738
Nop10	2	1	0	NA	0	1	NA	NA	51438	51438
Slc12a6	2	1	NA	0	NA	NA	0	1	5724	5724
Katnbl1	3	1	0	0	0	1	0	1	1319	1319
Emc7	2	1	0	NA	0	1	NA	NA	45231	45231
Aven	2	1	0	NA	0	1	NA	NA	1895	1895
Fmn1	5	1	0	0	0	1	0	1	678	678
A530058N18Rik	2	1	0	NA	0	1	NA	NA	5516	5516
C130080G10Rik	2	1	0	NA	0	1	NA	NA	91	91
BC052040	3	1	0	NA	0	1	NA	NA	1314	1314
G630016G05Rik	2	1	0	NA	0	1	NA	NA	411	411
D330050G23Rik	4	1	0	NA	0	1	NA	NA	405	405
Spred1	10	1	0	0	0	1	0	1	8553	8553
Fam98b	2	1	NA	0	NA	NA	0	1	3863	3863
Eif2ak4	3	1	0	0	0	1	0	1	1770	1770
Pak6	2	1	0	NA	0	1	NA	NA	3113	3113
Ivd	2	1	0	NA	0	1	NA	NA	7770	7770
Rpusd2	3	1	0	NA	0	1	NA	NA	363	363
Vps18	2	1	0	NA	0	1	NA	NA	2336	2336
Dll4	2	1	0	NA	0	1	NA	NA	609	609
1700020I14Rik	5	1	0	NA	0	1	NA	NA	36086	36086
Nusap1	3	1	0	NA	0	1	NA	NA	190	190
Rtf1	2	1	0	NA	0	1	NA	NA	2849	2849
Mga	6	1	0	0	0	1	0	1	3610	3610
Ganc	4	1	0	0	0	1	0	1	880	880
Snap23	5	1	0	NA	0	1	NA	NA	1454	1454
Haus2	5	1	0	NA	0	1	NA	NA	2580	2580
Stard9	5	1	0	0	0	1	0	1	791	791
AV039307	3	1	NA	0	NA	NA	0	1	154	154
Tmem62	2	1	0	NA	0	1	NA	NA	2455	2455
Tubgcp4	3	1	NA	0	NA	NA	0	1	1946	1946
Map1a	2	1	0	NA	0	1	NA	NA	16537	16537
Pdia3	2	1	NA	0	NA	NA	0	1	16700	16700
Hypk	2	1	NA	0	NA	NA	0	1	51332	51332
Casc4	3	1	0	NA	0	1	NA	NA	3754	3754
Ctdspl2	5	1	0	0	0	1	0	1	3473	3473
B2m	2	1	0	NA	0	1	NA	NA	34068	34068
Sord	3	1	0	NA	0	1	NA	NA	1758	1758
Spata5l1	2	1	0	NA	0	1	NA	NA	171	171
Bloc1s6	2	1	0	NA	0	1	NA	NA	3876	3876
Dut	2	1	0	NA	0	1	NA	NA	18172	18172
Eid1	2	1	0	NA	0	1	NA	NA	33308	33308
Dtwd1	2	1	0	NA	0	1	NA	NA	2233	2233
Slc27a2	3	1	0	NA	0	1	NA	NA	556	556
Ap4e1	3	1	0	NA	0	1	NA	NA	736	736
Snrnp200	2	1	0	NA	0	1	NA	NA	10134	10134
Tmem127	2	1	0	NA	0	1	NA	NA	3705	3705
Mrps5	3	1	0	NA	0	1	NA	NA	7755	7755
Bcl2l11	2	1	0	NA	0	1	NA	NA	1834	1834
Mertk	4	1	0	NA	0	1	NA	NA	899	899
Tmem87b	2	1	0	NA	0	1	NA	NA	2665	2665
Fbln7	3	1	0	NA	0	1	NA	NA	432	432
Zc3h6	3	1	0	NA	0	1	NA	NA	2144	2144
Gm14027	3	1	NA	NA	NA	NA	NA	NA	1933	1933
Ttl	5	1	0	0	0	1	0	1	2776	2776
Chchd5	2	1	0	NA	0	1	NA	NA	5504	5504
Gm14023	2	1	NA	0	NA	NA	0	1	131	131
Stk35	4	1	0	0	0	1	0	1	906	906
Ebf4	3	1	NA	0	NA	NA	0	1	973	973
Ptpra	3	1	0	NA	0	1	NA	NA	16961	16961
Hspa12b	3	1	0	NA	0	1	NA	NA	450	450
Mavs	2	1	0	NA	0	1	NA	NA	624	624
Pank2	4	1	0	0	0	1	0	1	8423	8423
Gm14285	4	1	NA	NA	NA	NA	NA	NA	679	679
Prnp	2	1	0	NA	0	1	NA	NA	86691	86691
AV099323	2	1	NA	0	NA	NA	0	1	254	254
Mcm8	3	1	0	NA	0	1	NA	NA	636	636
Crls1	2	1	0	NA	0	1	NA	NA	7026	7026
