gene	npas	pval	RLDu	RLDi	REDu	REDu.pval	REDi	REDi.pval	nread.c1.1	nread.c2.1
Tcea1	4	1	0	NA	0	1	NA	NA	4888	4888
Atp6v1h	2	1	NA	0	NA	NA	0	1	14297	14297
Rb1cc1	4	1	0	NA	0	1	NA	NA	5656	5656
St18	3	1	0	NA	0	1	NA	NA	288	288
Pcmtd1	3	1	0	NA	0	1	NA	NA	7107	7107
Adhfe1	2	1	0	NA	0	1	NA	NA	4728	4728
Sgk3	4	1	0	NA	0	1	NA	NA	1388	1388
Cspp1	3	1	NA	0	NA	NA	0	1	1998	1998
Prex2	3	1	0	NA	0	1	NA	NA	2319	2319
A830018L16Rik	6	1	0	0	0	1	0	1	1744	1744
Sulf1	3	1	0	NA	0	1	NA	NA	930	930
Terf1	3	1	0	0	0	1	0	1	2047	2047
Rdh10	4	1	0	NA	0	1	NA	NA	1730	1730
Tmem70	4	1	0	NA	0	1	NA	NA	14426	14426
Pi15	2	1	0	NA	0	1	NA	NA	65	65
Crispld1	2	1	0	NA	0	1	NA	NA	136	136
Tfap2b	3	1	0	0	0	1	0	1	252	252
Paqr8	5	1	0	NA	0	1	NA	NA	9740	9740
B3gat2	2	1	0	NA	0	1	NA	NA	675	675
Col9a1	2	1	0	NA	0	1	NA	NA	520	520
Lmbrd1	4	1	0	NA	0	1	NA	NA	15777	15777
Khdrbs2	3	1	0	NA	0	1	NA	NA	1547	1547
Rab23	2	1	0	NA	0	1	NA	NA	2766	2766
Dst	5	1	0	NA	0	1	NA	NA	7809	7809
Imp4	3	1	0	NA	0	1	NA	NA	2594	2594
Amer3	2	1	0	NA	0	1	NA	NA	1018	1018
Arid5a	2	1	0	NA	0	1	NA	NA	1216	1216
Cnnm3	2	1	0	NA	0	1	NA	NA	2601	2601
D430040D24Rik	2	1	NA	NA	NA	NA	NA	NA	117	117
Cox5b	2	1	NA	0	NA	NA	0	1	337511	337511
Lipt1	3	1	0	NA	0	1	NA	NA	309	309
Mrpl30	2	1	0	NA	0	1	NA	NA	56038	56038
Eif5b	7	1	0	0	0	1	0	1	4423	4423
Pdcl3	2	1	0	NA	0	1	NA	NA	9252	9252
Cnot11	3	1	0	NA	0	1	NA	NA	1975	1975
Map4k4	3	1	0	0	0	1	0	1	4902	4902
Slc9a4	2	1	0	NA	0	1	NA	NA	834	834
Slc9a2	2	1	0	NA	0	1	NA	NA	573	573
Gpr45	4	1	NA	0	NA	NA	0	1	1156	1156
AI597479	2	1	0	NA	0	1	NA	NA	2245	2245
Nck2	2	1	NA	0	NA	NA	0	1	2144	2144
Tpp2	3	1	0	0	0	1	0	1	3488	3488
Bivm	2	1	0	NA	0	1	NA	NA	2270	2270
Ercc5	2	1	NA	0	NA	NA	0	1	2866	2866
Gulp1	3	1	0	NA	0	1	NA	NA	738	738
Col3a1	2	1	0	NA	0	1	NA	NA	2311	2311
Dnah7b	2	1	NA	0	NA	NA	0	1	80	80
Tmeff2	3	1	0	NA	0	1	NA	NA	9818	9818
Cavin2	4	1	0	NA	0	1	NA	NA	889	889
Stat1	5	1	0	0	0	1	0	1	2156	2156
Nemp2	5	1	0	NA	0	1	NA	NA	687	687
Hibch	3	1	0	0	0	1	0	1	2764	2764
Osgepl1	3	1	NA	0	NA	NA	0	1	3528	3528
Coq10b	2	1	0	NA	0	1	NA	NA	2907	2907
Hspe1	2	1	NA	0	NA	NA	0	1	96906	96906
Mob4	5	1	0	NA	0	1	NA	NA	15500	15500
Mars2	3	1	NA	0	NA	NA	0	1	1355	1355
Plcl1	2	1	0	NA	0	1	NA	NA	2028	2028
1700066M21Rik	4	1	0	NA	0	1	NA	NA	1495	1495
Maip1	2	1	0	NA	0	1	NA	NA	7071	7071
Spats2l	3	1	0	0	0	1	0	1	1493	1493
Aox1	2	1	0	NA	0	1	NA	NA	409	409
Aox3	3	1	0	NA	0	1	NA	NA	488	488
Bzw1	5	1	0	0	0	1	0	1	15366	15366
Nif3l1	3	1	0	NA	0	1	NA	NA	3626	3626
Cflar	2	1	NA	0	NA	NA	0	1	3177	3177
Casp8	2	1	0	NA	0	1	NA	NA	383	383
Stradb	3	1	NA	0	NA	NA	0	1	3794	3794
Fzd7	3	1	0	NA	0	1	NA	NA	802	802
Gm973	3	1	0	0	0	1	0	1	359	359
Nop58	4	1	0	0	0	1	0	1	2443	2443
Bmpr2	2	1	0	NA	0	1	NA	NA	11814	11814
Fam117b	3	1	0	NA	0	1	NA	NA	4305	4305
Carf	2	1	NA	0	NA	NA	0	1	12316	12316
Nbeal1	6	1	0	0	0	1	0	1	985	985
Cyp20a1	2	1	0	NA	0	1	NA	NA	2283	2283
Abi2	3	1	0	NA	0	1	NA	NA	13299	13299
Nrp2	2	1	NA	0	NA	NA	0	1	674	674
Ino80dos	8	1	0	0	0	1	0	1	673	673
Adam23	5	1	0	NA	0	1	NA	NA	3211	3211
Fastkd2	4	1	0	0	0	1	0	1	1406	1406
Creb1	6	1	0	NA	0	1	NA	NA	2790	2790
Ccnyl1	4	1	0	0	0	1	0	1	625	625
Pikfyve	3	1	0	NA	0	1	NA	NA	3785	3785
Map2	2	1	0	NA	0	1	NA	NA	17835	17835
Unc80	2	1	0	NA	0	1	NA	NA	14066	14066
Rpe	5	1	0	0	0	1	0	1	5260	5260
Vwc2l	2	1	NA	0	NA	NA	0	1	231	231
Atic	2	1	0	NA	0	1	NA	NA	704	704
Apol7d	2	1	NA	0	NA	NA	0	1	162	162
Smarcal1	3	1	0	NA	0	1	NA	NA	3915	3915
Rpl37a	2	1	NA	0	NA	NA	0	1	178465	178465
Arpc2	2	1	0	NA	0	1	NA	NA	25635	25635
Pnkd	2	1	NA	0	NA	NA	0	1	8157	8157
Ctdsp1	2	1	0	NA	0	1	NA	NA	1989	1989
Vil1	2	1	0	NA	0	1	NA	NA	80	80
Cnot9	2	1	0	NA	0	1	NA	NA	1829	1829
Bcs1l	2	1	0	NA	0	1	NA	NA	2644	2644
Stk36	3	1	0	0	0	1	0	1	251	251
Ttll4	5	1	0	0	0	1	0	1	775	775
Wnt6	2	1	0	NA	0	1	NA	NA	3453	3453
Gm16582	4	1	NA	NA	NA	NA	NA	NA	1559	1559
Cdk5r2	3	1	0	NA	0	1	NA	NA	1503	1503
Ankzf1	2	1	NA	0	NA	NA	0	1	1913	1913
Stk16	2	1	NA	0	NA	NA	0	1	16295	16295
Des	2	1	NA	0	NA	NA	0	1	421	421
Gmppa	2	1	0	NA	0	1	NA	NA	2740	2740
Stk11ip	2	1	0	NA	0	1	NA	NA	1232	1232
Utp14b	2	1	0	NA	0	1	NA	NA	185	185
Acsl3	2	1	0	NA	0	1	NA	NA	15566	15566
Rhbdd1	2	1	NA	0	NA	NA	0	1	2076	2076
Agfg1	4	1	0	NA	0	1	NA	NA	4325	4325
Spata3	2	1	0	NA	0	1	NA	NA	89	89
2810459M11Rik	4	1	0	NA	0	1	NA	NA	2099	2099
Psmd1	2	1	NA	0	NA	NA	0	1	12038	12038
Armc9	5	1	0	0	0	1	0	1	1133	1133
Cops7b	2	1	0	NA	0	1	NA	NA	1792	1792
Dis3l2	2	1	0	NA	0	1	NA	NA	1652	1652
Eif4e2	5	1	0	0	0	1	0	1	7014	7014
Gigyf2	5	1	0	0	0	1	0	1	3453	3453
Inpp5d	2	1	NA	0	NA	NA	0	1	628	628
Ugt1a10	3	1	0	NA	0	1	NA	NA	210	210
Ugt1a7c	3	1	0	NA	0	1	NA	NA	210	210
Ugt1a9	3	1	0	NA	0	1	NA	NA	210	210
Ugt1a8	3	1	0	0	0	1	0	1	210	210
Ugt1a6b	3	1	0	NA	0	1	NA	NA	210	210
Ugt1a6a	2	1	0	NA	0	1	NA	NA	209	209
Ugt1a5	3	1	0	NA	0	1	NA	NA	210	210
Ugt1a2	3	1	0	NA	0	1	NA	NA	210	210
Ugt1a1	3	1	0	NA	0	1	NA	NA	210	210
Mroh2a	2	1	0	NA	0	1	NA	NA	197	197
Sh3bp4	4	1	0	NA	0	1	NA	NA	5976	5976
Agap1	3	1	0	NA	0	1	NA	NA	5937	5937
Cops8	2	1	0	NA	0	1	NA	NA	12924	12924
Lrrfip1	2	1	NA	0	NA	NA	0	1	4273	4273
Ube2f	4	1	0	NA	0	1	NA	NA	14959	14959
Klhl30	2	1	0	NA	0	1	NA	NA	1418	1418
Traf3ip1	4	1	0	0	0	1	0	1	1027	1027
Asb1	3	1	0	NA	0	1	NA	NA	1851	1851
Twist2	2	1	0	NA	0	1	NA	NA	162	162
Capn10	2	1	NA	0	NA	NA	0	1	5183	5183
Sned1	3	1	0	NA	0	1	NA	NA	297	297
Ppp1r7	4	1	0	NA	0	1	NA	NA	7692	7692
Farp2	4	1	0	0	0	1	0	1	875	875
Atg4b	2	1	0	NA	0	1	NA	NA	4916	4916
Ing5	3	1	0	NA	0	1	NA	NA	1366	1366
D2hgdh	3	1	0	0	0	1	0	1	1037	1037
Fam174a	2	1	0	NA	0	1	NA	NA	35644	35644
Gin1	2	1	NA	0	NA	NA	0	1	4998	4998
Cntnap5b	2	1	NA	0	NA	NA	0	1	706	706
Cdh20	2	1	0	NA	0	1	NA	NA	2828	2828
Zcchc2	4	1	0	0	0	1	0	1	925	925
Serpinb8	3	1	0	NA	0	1	NA	NA	306	306
Cdh7	3	1	0	NA	0	1	NA	NA	267	267
Cntnap5a	3	1	0	NA	0	1	NA	NA	653	653
Clasp1	2	1	0	NA	0	1	NA	NA	4633	4633
3110009E18Rik	4	1	NA	0	NA	NA	0	1	309	309
Ccdc93	2	1	0	NA	0	1	NA	NA	750	750
Slc35f5	2	1	0	NA	0	1	NA	NA	2705	2705
Mgat5	3	1	0	NA	0	1	NA	NA	5853	5853
Ccnt2	3	1	0	NA	0	1	NA	NA	3229	3229
Rab3gap1	3	1	0	0	0	1	0	1	3797	3797
Ubxn4	2	1	0	NA	0	1	NA	NA	6711	6711
Thsd7b	2	1	0	NA	0	1	NA	NA	894	894
Yod1	3	1	0	NA	0	1	NA	NA	2663	2663
Eif2d	4	1	NA	0	NA	NA	0	1	1899	1899
Rab7b	3	1	0	NA	0	1	NA	NA	392	392
Pm20d1	2	1	NA	NA	NA	NA	NA	NA	164	164
Nucks1	2	1	0	NA	0	1	NA	NA	16736	16736
Elk4	2	1	0	NA	0	1	NA	NA	1246	1246
Lemd1	2	1	NA	0	NA	NA	0	1	1241	1241
Klhdc8a	3	1	0	NA	0	1	NA	NA	5303	5303
Dstyk	3	1	0	0	0	1	0	1	1916	1916
Pik3c2b	2	1	0	NA	0	1	NA	NA	488	488
Ppp1r15b	2	1	0	NA	0	1	NA	NA	3754	3754
Plekha6	2	1	0	NA	0	1	NA	NA	1833	1833
Cyb5r1	4	1	0	NA	0	1	NA	NA	384	384
Adipor1	2	1	0	NA	0	1	NA	NA	13288	13288
Rabif	3	1	0	NA	0	1	NA	NA	5227	5227
Kdm5b	4	1	0	NA	0	1	NA	NA	3920	3920
Zfp281	5	1	0	NA	0	1	NA	NA	5148	5148
Dennd1b	2	1	0	NA	0	1	NA	NA	1564	1564
Zbtb41	4	1	0	NA	0	1	NA	NA	3126	3126
Aspm	2	1	0	NA	0	1	NA	NA	162	162
Kcnt2	3	1	0	NA	0	1	NA	NA	224	224
B3galt2	5	1	0	NA	0	1	NA	NA	2683	2683
Glrx2	4	1	0	0	0	1	0	1	20723	20723
Uchl5	4	1	0	0	0	1	0	1	11750	11750
Brinp3	3	1	0	0	0	1	0	1	2790	2790
Ptgs2	3	1	0	NA	0	1	NA	NA	219	219
Tpr	2	1	0	NA	0	1	NA	NA	5566	5566
Ivns1abp	2	1	0	NA	0	1	NA	NA	27317	27317
Trmt1l	2	1	NA	0	NA	NA	0	1	2161	2161
Fam129a	4	1	0	0	0	1	0	1	564	564
Edem3	2	1	0	NA	0	1	NA	NA	1822	1822
Colgalt2	3	1	0	NA	0	1	NA	NA	924	924
Arpc5	2	1	0	NA	0	1	NA	NA	17475	17475
Ncf2	2	1	0	NA	0	1	NA	NA	663	663
Nmnat2	3	1	0	NA	0	1	NA	NA	3318	3318
Shcbp1l	2	1	NA	0	NA	NA	0	1	198	198
Rgs8	3	1	0	NA	0	1	NA	NA	1622	1622
Rnasel	2	1	0	NA	0	1	NA	NA	845	845
Glul	4	1	0	NA	0	1	NA	NA	39086	39086
Stx6	4	1	0	0	0	1	0	1	7882	7882
Acbd6	3	1	NA	0	NA	NA	0	1	18896	18896
Tor1aip2	4	1	NA	0	NA	NA	0	1	5552	5552
Rfwd2	4	1	0	NA	0	1	NA	NA	6011	6011
Tnr	4	1	0	0	0	1	0	1	2706	2706
Mrps14	2	1	0	NA	0	1	NA	NA	61557	61557
Rc3h1	2	1	NA	0	NA	NA	0	1	3897	3897
Gas5	5	1	NA	0	NA	NA	0	1	96232	96232
Cenpl	3	1	0	0	0	1	0	1	549	549
Ankrd45	2	1	0	NA	0	1	NA	NA	8957	8957
Vamp4	3	1	NA	0	NA	NA	0	1	23698	23698
Scyl3	3	1	0	NA	0	1	NA	NA	1444	1444
Slc19a2	3	1	0	NA	0	1	NA	NA	743	743
Ccdc181	2	1	NA	0	NA	NA	0	1	1343	1343
Nme7	2	1	0	NA	0	1	NA	NA	48190	48190
Creg1	2	1	0	NA	0	1	NA	NA	11422	11422
Fam78b	3	1	0	NA	0	1	NA	NA	2696	2696
Aldh9a1	3	1	0	NA	0	1	NA	NA	3666	3666
Rxrg	2	1	0	NA	0	1	NA	NA	1693	1693
Rgs5	2	1	0	NA	0	1	NA	NA	8071	8071
Ccdc190	4	1	0	NA	0	1	NA	NA	1337	1337
Mpz	2	1	0	NA	0	1	NA	NA	534	534
Adamts4	4	1	0	NA	0	1	NA	NA	697	697
Dedd	5	1	0	NA	0	1	NA	NA	1836	1836
Pfdn2	2	1	0	NA	0	1	NA	NA	62265	62265
Usf1	2	1	0	NA	0	1	NA	NA	2524	2524
F11r	3	1	0	NA	0	1	NA	NA	154	154
Alyref2	2	1	0	NA	0	1	NA	NA	743	743
Slamf1	3	1	0	0	0	1	0	1	192	192
Cd84	2	1	0	NA	0	1	NA	NA	349	349
Dcaf8	2	1	0	NA	0	1	NA	NA	9561	9561
Igsf8	2	1	0	NA	0	1	NA	NA	11176	11176
Pigm	3	1	0	NA	0	1	NA	NA	1475	1475
Fmn2	2	1	0	NA	0	1	NA	NA	3726	3726
Desi2	6	1	0	0	0	1	0	1	2656	2656
Cox20	3	1	0	0	0	1	0	1	43328	43328
Efcab2	6	1	0	NA	0	1	NA	NA	3070	3070
Kif26b	3	1	0	NA	0	1	NA	NA	1026	1026
Cnst	2	1	NA	0	NA	NA	0	1	3336	3336
Sccpdh	2	1	0	NA	0	1	NA	NA	11087	11087
Cdc42bpa	2	1	0	NA	0	1	NA	NA	6093	6093
Itpkb	2	1	0	NA	0	1	NA	NA	1049	1049
Parp1	2	1	0	NA	0	1	NA	NA	7614	7614
Acbd3	3	1	0	NA	0	1	NA	NA	3763	3763
H3f3aos	4	1	NA	NA	NA	NA	NA	NA	318	318
Sde2	2	1	0	NA	0	1	NA	NA	1908	1908
Cnih4	3	1	0	NA	0	1	NA	NA	15515	15515
A430110L20Rik	3	1	0	NA	0	1	NA	NA	315	315
Cnih3	3	1	0	NA	0	1	NA	NA	3149	3149
Srp9	2	1	0	NA	0	1	NA	NA	57401	57401
Dusp10	3	1	0	NA	0	1	NA	NA	639	639
Rab3gap2	4	1	0	NA	0	1	NA	NA	5754	5754
Bpnt1	3	1	0	NA	0	1	NA	NA	6063	6063
Slc30a10	3	1	0	NA	0	1	NA	NA	1479	1479
Gpatch2	3	1	0	0	0	1	0	1	1539	1539
Ptpn14	3	1	0	NA	0	1	NA	NA	1500	1500
Angel2	3	1	0	NA	0	1	NA	NA	5677	5677
Tmem206	4	1	0	NA	0	1	NA	NA	2708	2708
Ints7	2	1	0	NA	0	1	NA	NA	1330	1330
Lpgat1	3	1	0	NA	0	1	NA	NA	8892	8892
Slc30a1	2	1	0	NA	0	1	NA	NA	5006	5006
Gm15867	2	1	0	NA	0	1	NA	NA	1074	1074
A130010J15Rik	5	1	0	NA	0	1	NA	NA	331	331
Plxna2	2	1	0	NA	0	1	NA	NA	2095	2095
Xkr4	3	1	0	0	0	1	0	1	2147	2147
Sox17	2	1	0	NA	0	1	NA	NA	823	823
Rgs20	4	1	0	NA	0	1	NA	NA	2067	2067
4732440D04Rik	2	1	0	NA	0	1	NA	NA	307	307
Sntg1	3	1	NA	0	NA	NA	0	1	7839	7839
Mybl1	3	1	0	0	0	1	0	1	130	130
Vcpip1	5	1	0	NA	0	1	NA	NA	4218	4218
Ppp1r42	2	1	NA	0	NA	NA	0	1	246	246
Cops5	2	1	0	NA	0	1	NA	NA	21725	21725
Ncoa2	2	1	0	NA	0	1	NA	NA	6410	6410
Tram1	4	1	0	0	0	1	0	1	6572	6572
Lactb2	6	1	0	0	0	1	0	1	1340	1340
Stau2	3	1	NA	0	NA	NA	0	1	6689	6689
Ube2w	4	1	NA	NA	NA	NA	NA	NA	12794	12794
Eloc	5	1	0	NA	0	1	NA	NA	44437	44437
Mcm3	2	1	0	NA	0	1	NA	NA	195	195
Kcnq5	3	1	0	0	0	1	0	1	5024	5024
Rims1	5	1	0	0	0	1	0	1	4148	4148
Ogfrl1	3	1	0	NA	0	1	NA	NA	12361	12361
Smap1	3	1	NA	NA	NA	NA	NA	NA	31288	31288
Fam135a	3	1	0	NA	0	1	NA	NA	3048	3048
Col19a1	2	1	0	NA	0	1	NA	NA	535	535
Phf3	3	1	0	NA	0	1	NA	NA	5290	5290
Ptp4a1	3	1	0	NA	0	1	NA	NA	13253	13253
Zfp451	5	1	NA	0	NA	NA	0	1	3873	3873
Fam168b	2	1	0	NA	0	1	NA	NA	13215	13215
Uggt1	3	1	0	NA	0	1	NA	NA	2433	2433
Lman2l	3	1	0	NA	0	1	NA	NA	3709	3709
Ankrd39	2	1	0	NA	0	1	NA	NA	4683	4683
Sema4c	2	1	0	NA	0	1	NA	NA	607	607
Actr1b	2	1	0	NA	0	1	NA	NA	17450	17450
Coa5	3	1	0	NA	0	1	NA	NA	7178	7178
Tsga10	5	1	NA	NA	NA	NA	NA	NA	549	549
Mitd1	2	1	NA	0	NA	NA	0	1	2054	2054
Txndc9	3	1	0	0	0	1	0	1	16127	16127
Rev1	2	1	0	NA	0	1	NA	NA	2897	2897
Aff3	2	1	0	NA	0	1	NA	NA	1511	1511
Lonrf2	2	1	0	NA	0	1	NA	NA	7989	7989
Tbc1d8	4	1	0	NA	0	1	NA	NA	2535	2535
Gm15832	2	1	NA	NA	NA	NA	NA	NA	4571	4571
Rnf149	2	1	0	NA	0	1	NA	NA	4570	4570
Creg2	3	1	0	NA	0	1	NA	NA	1482	1482
Tgfbrap1	2	1	NA	0	NA	NA	0	1	2572	2572
Uxs1	6	1	0	0	0	1	0	1	3420	3420
Kdelc1	3	1	0	NA	0	1	NA	NA	666	666
Col5a2	2	1	0	NA	0	1	NA	NA	2246	2246
Slc40a1	2	1	0	NA	0	1	NA	NA	1988	1988
Slc39a10	4	1	0	0	0	1	0	1	8419	8419
Nabp1	5	1	0	NA	0	1	NA	NA	1324	1324
Myo1b	4	1	0	NA	0	1	NA	NA	1258	1258
Gls	2	1	NA	0	NA	NA	0	1	22955	22955
Nab1	3	1	0	NA	0	1	NA	NA	4170	4170
Inpp1	2	1	0	NA	0	1	NA	NA	4091	4091
1700019D03Rik	2	1	0	NA	0	1	NA	NA	3222	3222
Pms1	2	1	0	NA	0	1	NA	NA	235	235
Asnsd1	2	1	NA	0	NA	NA	0	1	3185	3185
Stk17b	2	1	0	NA	0	1	NA	NA	932	932
Hecw2	5	1	0	0	0	1	0	1	1592	1592
Gtf3c3	2	1	0	NA	0	1	NA	NA	2823	2823
Ankrd44	3	1	0	0	0	1	0	1	729	729
Sf3b1	2	1	0	NA	0	1	NA	NA	16135	16135
Hspd1	2	1	0	NA	0	1	NA	NA	19177	19177
Rftn2	2	1	0	NA	0	1	NA	NA	2971	2971
Tyw5	2	1	0	NA	0	1	NA	NA	2765	2765
Kctd18	4	1	NA	0	NA	NA	0	1	1298	1298
Clk1	2	1	0	NA	0	1	NA	NA	9476	9476
Ppil3	3	1	NA	0	NA	NA	0	1	8531	8531
Orc2	5	1	0	0	0	1	0	1	2679	2679
Fam126b	3	1	0	NA	0	1	NA	NA	6027	6027
Trak2	3	1	0	NA	0	1	NA	NA	7614	7614
Tmem237	3	1	0	0	0	1	0	1	3343	3343
Mpp4	2	1	NA	NA	NA	NA	NA	NA	1816	1816
Sumo1	2	1	0	NA	0	1	NA	NA	53553	53553
Ica1l	3	1	NA	0	NA	NA	0	1	5030	5030
Wdr12	3	1	0	NA	0	1	NA	NA	3032	3032
Ndufs1	2	1	NA	0	NA	NA	0	1	18105	18105
Klf7	3	1	0	NA	0	1	NA	NA	1141	1141
Mettl21a	3	1	0	NA	0	1	NA	NA	2223	2223
Plekhm3	2	1	0	NA	0	1	NA	NA	2108	2108
Idh1	2	1	0	NA	0	1	NA	NA	4000	4000
Kansl1l	5	1	0	0	0	1	0	1	2087	2087
Acadl	4	1	0	0	0	1	0	1	9204	9204
Lancl1	2	1	0	NA	0	1	NA	NA	16736	16736
Erbb4	4	1	0	NA	0	1	NA	NA	2101	2101
Ikzf2	3	1	0	NA	0	1	NA	NA	106	106
Mreg	3	1	0	0	0	1	0	1	712	712
Igfbp5	2	1	0	NA	0	1	NA	NA	16324	16324
Tns1	3	1	0	NA	0	1	NA	NA	1765	1765
Tmbim1	2	1	0	NA	0	1	NA	NA	3835	3835
Usp37	2	1	0	NA	0	1	NA	NA	1587	1587
Zfp142	4	1	0	NA	0	1	NA	NA	1753	1753
Prkag3	3	1	0	NA	0	1	NA	NA	290	290
Glb1l	3	1	0	NA	0	1	NA	NA	821	821
Tuba4a	3	1	0	NA	0	1	NA	NA	24528	24528
Obsl1	3	1	NA	0	NA	NA	0	1	1683	1683
Epha4	3	1	0	NA	0	1	NA	NA	2496	2496
Wdfy1	5	1	0	NA	0	1	NA	NA	1627	1627
Cul3	3	1	0	NA	0	1	NA	NA	12347	12347
Irs1	2	1	0	NA	0	1	NA	NA	4343	4343
Trip12	4	1	0	NA	0	1	NA	NA	9342	9342
Slc16a14	2	1	0	NA	0	1	NA	NA	375	375
Ncl	3	1	0	NA	0	1	NA	NA	20584	20584
Kcnj13	3	1	0	NA	0	1	NA	NA	363	363
Ngef	2	1	NA	0	NA	NA	0	1	6864	6864
Hjurp	2	1	0	NA	0	1	NA	NA	3391	3391
Arl4c	3	1	0	NA	0	1	NA	NA	2024	2024
Per2	2	1	0	NA	0	1	NA	NA	652	652
Ndufa10	2	1	0	NA	0	1	NA	NA	28476	28476
Cops9	3	1	0	0	0	1	0	1	87966	87966
Kif1a	2	1	0	NA	0	1	NA	NA	18179	18179
Mterf4	2	1	NA	0	NA	NA	0	1	3237	3237
Pask	2	1	0	NA	0	1	NA	NA	217	217
Hdlbp	3	1	0	0	0	1	0	1	8516	8516
Thap4	2	1	0	NA	0	1	NA	NA	3449	3449
Dtymk	3	1	NA	0	NA	NA	0	1	12590	12590
St8sia4	3	1	NA	0	NA	NA	0	1	2116	2116
D1Ertd622e	2	1	0	NA	0	1	NA	NA	7057	7057
B230216N24Rik	2	1	0	NA	0	1	NA	NA	920	920
Rnf152	3	1	0	NA	0	1	NA	NA	973	973
Pign	3	1	0	NA	0	1	NA	NA	967	967
Bcl2	3	1	0	0	0	1	0	1	2960	2960
Kdsr	7	1	0	NA	0	1	NA	NA	4184	4184
Cdh19	2	1	0	NA	0	1	NA	NA	5372	5372
Dsel	2	1	0	NA	0	1	NA	NA	471	471
Tsn	4	1	0	NA	0	1	NA	NA	18454	18454
Gli2	2	1	NA	0	NA	NA	0	1	112	112
Ralb	3	1	0	NA	0	1	NA	NA	2435	2435
Epb41l5	4	1	0	0	0	1	0	1	1377	1377
Ptpn4	3	1	0	NA	0	1	NA	NA	13979	13979
Tmem177	2	1	0	NA	0	1	NA	NA	905	905
Dbi	2	1	0	NA	0	1	NA	NA	417864	417864
Steap3	4	1	0	NA	0	1	NA	NA	465	465
Insig2	2	1	0	NA	0	1	NA	NA	14383	14383
Ddx18	2	1	0	NA	0	1	NA	NA	2129	2129
Dpp10	3	1	0	NA	0	1	NA	NA	14678	14678
Actr3	3	1	0	NA	0	1	NA	NA	15758	15758
Lypd1	3	1	0	NA	0	1	NA	NA	1294	1294
Map3k19	2	1	NA	0	NA	NA	0	1	123	123
Zranb3	2	1	0	NA	0	1	NA	NA	401	401
Dars	2	1	NA	0	NA	NA	0	1	6176	6176
Cxcr4	2	1	0	NA	0	1	NA	NA	245	245
Cd55	5	1	0	0	0	1	0	1	1336	1336
Pfkfb2	2	1	NA	0	NA	NA	0	1	3838	3838
Ikbke	2	1	NA	0	NA	NA	0	1	140	140
Srgap2	3	1	NA	0	NA	NA	0	1	5536	5536
Mfsd4a	4	1	0	0	0	1	0	1	571	571
Cntn2	2	1	0	NA	0	1	NA	NA	2204	2204
Nfasc	3	1	0	NA	0	1	NA	NA	5202	5202
Mdm4	2	1	0	NA	0	1	NA	NA	4021	4021
Prelp	2	1	0	NA	0	1	NA	NA	945	945
Btg2	2	1	0	NA	0	1	NA	NA	5141	5141
Adora1	2	1	0	NA	0	1	NA	NA	4471	4471
Ppfia4	2	1	0	NA	0	1	NA	NA	4127	4127
Tmem183a	4	1	0	NA	0	1	NA	NA	9061	9061
Lgr6	2	1	0	NA	0	1	NA	NA	5882	5882
Timm17a	2	1	0	NA	0	1	NA	NA	29687	29687
Shisa4	3	1	0	0	0	1	0	1	11626	11626
Ipo9	3	1	0	NA	0	1	NA	NA	7605	7605
Nav1	4	1	0	NA	0	1	NA	NA	4186	4186
Camsap2	2	1	0	NA	0	1	NA	NA	5628	5628
Ptprc	2	1	0	NA	0	1	NA	NA	272	272
Nek7	5	1	0	0	0	1	0	1	4716	4716
2310009B15Rik	2	1	NA	0	NA	NA	0	1	11367	11367
Cfh	2	1	0	NA	0	1	NA	NA	3732	3732
Cdc73	6	1	0	NA	0	1	NA	NA	3100	3100
Trove2	3	1	0	NA	0	1	NA	NA	6276	6276
Rgs2	3	1	0	NA	0	1	NA	NA	4631	4631
Pla2g4a	3	1	NA	0	NA	NA	0	1	588	588
BC003331	3	1	0	0	0	1	0	1	4818	4818
Swt1	3	1	0	0	0	1	0	1	1700	1700
Rnf2	3	1	0	NA	0	1	NA	NA	3298	3298
1700025G04Rik	3	1	0	NA	0	1	NA	NA	8059	8059
Rgl1	4	1	0	NA	0	1	NA	NA	4170	4170
Lamc1	4	1	0	NA	0	1	NA	NA	1970	1970
Dhx9	4	1	NA	0	NA	NA	0	1	5959	5959
Teddm2	2	1	0	NA	0	1	NA	NA	75	75
Cacna1e	2	1	0	NA	0	1	NA	NA	2752	2752
Ier5	2	1	0	NA	0	1	NA	NA	16633	16633
Mr1	3	1	0	NA	0	1	NA	NA	667	667
Xpr1	2	1	0	NA	0	1	NA	NA	8058	8058
Tor1aip1	3	1	0	NA	0	1	NA	NA	6050	6050
Fam163a	2	1	0	NA	0	1	NA	NA	1633	1633
Soat1	5	1	0	NA	0	1	NA	NA	2230	2230
Tor3a	3	1	0	NA	0	1	NA	NA	1181	1181
Fam20b	2	1	NA	0	NA	NA	0	1	3233	3233
Ralgps2	3	1	0	NA	0	1	NA	NA	5589	5589
Rasal2	2	1	0	NA	0	1	NA	NA	1954	1954
Brinp2	3	1	0	NA	0	1	NA	NA	5327	5327
Cacybp	3	1	0	0	0	1	0	1	30888	30888
Rabgap1l	2	1	NA	0	NA	NA	0	1	7885	7885
Zbtb37	5	1	0	0	0	1	0	1	668	668
Dars2	3	1	0	NA	0	1	NA	NA	1626	1626
Klhl20	3	1	0	0	0	1	0	1	832	832
